"filename", "language", "C++", "Markdown", "Ignore", "YAML", "JSON", "Dart", "Properties", "Swift", "XML", "HTML", "comment", "blank", "total"
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\widgets\exchange_control_panel.dart", "Dart", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 15, 24, 212
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\widgets\exchange_filter_widget.dart", "Dart", 0, 0, 0, 0, 0, 364, 0, 0, 0, 0, 37, 42, 443
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\widgets\notice_message_card.dart", "Dart", 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 32, 30, 317
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\widgets\simplified_timetable_cell.dart", "Dart", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 9, 6, 107
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\widgets\timetable_grid\exchange_arrow_painter.dart", "Dart", 0, 0, 0, 0, 0, 524, 0, 0, 0, 0, 178, 122, 824
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\widgets\timetable_grid\exchange_arrow_style.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 5, 7, 62
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\widgets\timetable_grid\exchange_executor.dart", "Dart", 0, 0, 0, 0, 0, 370, 0, 0, 0, 0, 77, 78, 525
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\widgets\timetable_grid\grid_header_widgets.dart", "Dart", 0, 0, 0, 0, 0, 245, 0, 0, 0, 0, 12, 16, 273
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\widgets\timetable_grid\timetable_grid_constants.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 10, 8, 47
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\widgets\timetable_grid\widget_arrows_manager.dart", "Dart", 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 45, 46, 279
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\widgets\timetable_grid_section.dart", "Dart", 0, 0, 0, 0, 0, 792, 0, 0, 0, 0, 177, 170, 1139
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\widgets\unified_exchange_sidebar.dart", "Dart", 0, 0, 0, 0, 0, 1168, 0, 0, 0, 0, 131, 122, 1421
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\cell_cache_manager.dart", "Dart", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 20, 19, 108
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\cell_state_manager.dart", "Dart", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 42, 46, 275
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\cell_style_config.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 1, 2, 43
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\class_name_parser.dart", "Dart", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 26, 11, 89
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\constants.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 4, 17
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\day_utils.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 43, 8, 83
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\exchange_algorithm.dart", "Dart", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 22, 27, 171
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\exchange_path_converter.dart", "Dart", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 9, 12, 124
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\exchange_path_utils.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 11, 10, 58
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\exchange_visualizer.dart", "Dart", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 7, 20, 143
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\fixed_header_style_manager.dart", "Dart", 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 99, 54, 450
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\logger.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 10, 9, 54
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\non_exchangeable_manager.dart", "Dart", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 29, 21, 160
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\notice_message_generator.dart", "Dart", 0, 0, 0, 0, 0, 361, 0, 0, 0, 0, 63, 78, 502
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\notice_message_helpers.dart", "Dart", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 20, 17, 132
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\simplified_timetable_theme.dart", "Dart", 0, 0, 0, 0, 0, 366, 0, 0, 0, 0, 62, 59, 487
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\syncfusion_timetable_helper.dart", "Dart", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 20, 15, 122
"d:\Project\flutter_apps\class_exchange_manager\lib\utils\timetable_data_source.dart", "Dart", 0, 0, 0, 0, 0, 453, 0, 0, 0, 0, 82, 101, 636
"d:\Project\flutter_apps\class_exchange_manager\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\Project\flutter_apps\class_exchange_manager\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Project\flutter_apps\class_exchange_manager\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Project\flutter_apps\class_exchange_manager\linux\runner\my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"d:\Project\flutter_apps\class_exchange_manager\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Project\flutter_apps\class_exchange_manager\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 4, 15
"d:\Project\flutter_apps\class_exchange_manager\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"d:\Project\flutter_apps\class_exchange_manager\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"d:\Project\flutter_apps\class_exchange_manager\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"d:\Project\flutter_apps\class_exchange_manager\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"d:\Project\flutter_apps\class_exchange_manager\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"d:\Project\flutter_apps\class_exchange_manager\pubspec.yaml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 66, 20, 116
"d:\Project\flutter_apps\class_exchange_manager\test\unit_test_examples.dart", "Dart", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 14, 39, 193
"d:\Project\flutter_apps\class_exchange_manager\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"d:\Project\flutter_apps\class_exchange_manager\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 5, 39
"d:\Project\flutter_apps\class_exchange_manager\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Project\flutter_apps\class_exchange_manager\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\Project\flutter_apps\class_exchange_manager\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Project\flutter_apps\class_exchange_manager\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\Project\flutter_apps\class_exchange_manager\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Project\flutter_apps\class_exchange_manager\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Project\flutter_apps\class_exchange_manager\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Project\flutter_apps\class_exchange_manager\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\Project\flutter_apps\class_exchange_manager\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Project\flutter_apps\class_exchange_manager\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\Project\flutter_apps\class_exchange_manager\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"d:\Project\flutter_apps\class_exchange_manager\마우스_스크롤_구현_문서.md", "Markdown", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 195
"Total", "-", 540, 3832, 1, 36, 276, 18518, 8, 57, 470, 19, 4087, 4788, 32632
